ASUS GeForce_GTX_1650 13100 4GB GDDR5 GeForce_GTX_1650
MSI GTX_1660_Ventus 19999 6GB GDDR5 GeForceGTX_1660
Gigabyte GeForce_GTX_1660_SUPER 22310 6GB GDDR6 GeForce_GTX_1660_SUPER
MSI GeForce_GTX_1660 24990 6GB GDDR6 GeForce_GTX_1660_SUPER
ASUS GeForce_GTX_1660_SUPER 25799 6GB GDDR6 GeForce_GTX_1660_SUPER
Gigabyte Radeon_RX_5600_XT 30500 6GB GDDR6 Radeon_RX_5600_XT
Gigabyte GeForce_GTX_1660_Ti 33900 6GB GDDR6 GeForce_GTX_1660_Ti
Gigabyte GeForce_RTX_2060 36500 6GB GDDR6 GeForce_RTX_2060
ZOTAC GeForce_RTX_2060_Super 37600 8GB GDDR6 GeForce_RTX_2060_Super
Gigabyte Radeon_Rx_5700_Xt 41000 8GB GDDR6 Radeon_Rx_5700_Xt
MSI Radeon_RX_5600_XT 41599 6GB GDDR6 Radeon_RX_5600_XT
MSI GeForce_RTX_2060_Super 43844 8GB GDDR6 GeForce_RTX_2060_Super
Gigabyte Windforce_OC 50500 8GB GDDR6 GeForce_RTX_2070_SUPER
ASUS GeForce_RTX_2070_SUPER 63799 8GB GDDR6 GeForce_RTX_2070_SUPER
Gigabyte GeForce_RTX_2080_Super 67000 8GB GDDR6 GeForce_RTX_2080_Super
ASUS GeForce_RTX_2080_SUPER 68999 8GB GDDR6 GeForce_RTX_2080_Super
MSI GeForce_RTX_2080_Ti_GAMING_X_TRIO 140500 11GB GDDR6 GeForce_RTX_2080_Ti
ASUS ROG_STRIX_GeForce_RTX_2080TI 153990 11GB GDDR6 GeForce_RTX_2080_Ti
NVIDIA TITAN_RTX 319999 24GB GDDR6 TITAN_RTX
PNY Quadro_RTX_8000 669990 48GB GDDR6 Quadro_RTX_8000
Company Model Cost Memory Memory_Interface Chipset
