Gigabyte P-B 6500 650W
Corsair TXM 10699 650W
ThermalTake Smart_Rro_RGB 10999 650W
Cosair CXM 11499 750W
Corsair RMx(2018) 13500 750W
Cosair CX_650 13871 650W
Cosair SF 16199 600W
Cosair SF 19499 750W
Seasonic FOCUS_Plus_Gold 21436 850W
EVGA BR 23630 500W
ASUS ROG_Thor_850 24900 852W
Cosair CXM(2015) 27465 450W
EVGA BQ 27610 600W
Cosair CX 31915 550W
EVGA SuperNOVA_G3 42258 750W
Corsair AXi 43000 1600W
Coller_Master Master_MWE 43685 750W
ThermalTake Toughpower_Grand_RGB 45515 750W
Corsair RMx(2018) 57805 850W
Cosair RMx(2018) 60760 850W
Brand Model Cost Power
