Intel Core_i3-9100F 6717 4 4
AMD Ryzen_3_3100 9187 4 8
Intel Core_i3-8100 10880 4 4
AMD Ryzen_5_2600 13090 6 12
AMD_ Ryzen_7_1700 14700 8 16
AMD_ Ryzen_7_1700x 15120 8 16
Intel Core_i5-7400 16749 4 4
AMD Ryzen_5_2600x 16975 6 12
AMD_ Ryzen_5_1600x 17499 6 12
Intel Core_i5-7640x 19950 4 4
AMD_ Ryzen_Threadripper_1900x 20000 8 16
Intel Core_i7-7700 30500 4 8
AMD_ Ryzen_7_3700x 30699 8 16
AMD_ Ryzen_7_3800XT 33490 8 16
Intel Core_i7-6700 36799 4 8
AMD_ Ryzen_5_5600x 38999 6 12
AMD_ Ryzen_Threadripper_2920X 48999 12 24
AMD_ Ryzen_9_3900x 53799 12 24
Intel Core_i7-6900k 89999 8 16
AMD_ Ryzen_Threadripper_3960x 151000 24 48
Company Model Cost Cores Threads
