Seagate BarraCuda 2299 500GB SATA_6_Gb/s HDD 128MB
PNY C5900 3000 240GB SATA_III_6_Gb/s SSD 128MB
Western_Digital Caviar_Blue 3610 1TB SATA_6_Gb/s HDD 64MB
Western_Digital Blue_500 5507 500GB SATA_III_6_Gb/s SSD 128MB
Western_Digital Blue_SN_550 5649 500GB PCIe_3.0x4 SSD 128MB
Kingston A2000 5794 500GB PCIe_x4 SSD 128MB
SP_Silicon_Power A55 6999 512gb SATA_6_Gb/s SSD 128MB
Seagate BarraCuda 7879 2TB SATA_6_Gb/s HDD 256MB
Seagate BarraCuda 8899 4TB SATA_6_Gb/s HDD 256MB
Crucial BX500 8950 1TB SATA_III_6_Gb/s SSD 128MB
Crucial P1 10204 1_TB PCIe_3.0x4 SSD 128MB
Kingston A2000 10542 1TB PCIe_x4 SSD 128MB
Western_Digital SN750 11000 500GB PCIe_3.0x4 SSD 128MB
Seagate BarraCuda 15020 2TB SATA_6_Gb/s HDD 256MB
Samsung EVO_970 23435 250GB PCIe_3.0x4 SSD 512MB
Corsair_ Force_MP600 23640 1TB PCIe_3.0x4 SSD 128MB
Samsung 970_Pro 27999 1TB PCIe_3.0x4 SSD 128MB
Samsung QVO_860 35890 1TB SATA_6_Gb/s SSD 128MB
Sabrent Rocket_4.0 44496 1TB PCIe_4.0x4 SSD 128MB
Samsung 970_EVO 55276 1TB PCIe_3.0x4 SSD 1024MB
Company Model_ Cost_ Capacity Interface Type Cache
